location,country_key,country_code,country_name,circuit_key,circuit_short_name,session_type,session_name,date_start,date_end,gmt_offset,session_key,meeting_key,year
Sakhir,36,BRN,Bahrain,63,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00+00:00,2023-03-04T16:00:00+00:00,03:00:00,7768,1141,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Race,Race,2023-03-05T15:00:00+00:00,2023-03-05T17:00:00+00:00,03:00:00,7953,1141,2023
Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Qualifying,Qualifying,2023-03-18T17:00:00+00:00,2023-03-18T18:00:00+00:00,03:00:00,7775,1142,2023
Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Race,Race,2023-03-19T17:00:00+00:00,2023-03-19T19:00:00+00:00,03:00:00,7779,1142,2023
Melbourne,5,AUS,Australia,10,Melbourne,Qualifying,Qualifying,2023-04-01T05:00:00+00:00,2023-04-01T06:00:00+00:00,11:00:00,7783,1143,2023
Melbourne,5,AUS,Australia,10,Melbourne,Race,Race,2023-04-02T05:00:00+00:00,2023-04-02T07:00:00+00:00,10:00:00,7787,1143,2023
Baku,30,AZE,Azerbaijan,144,Baku,Qualifying,Qualifying,2023-04-28T13:00:00+00:00,2023-04-28T14:00:00+00:00,04:00:00,9064,1207,2023
Baku,30,AZE,Azerbaijan,144,Baku,Qualifying,Sprint Shootout,2023-04-29T08:30:00+00:00,2023-04-29T09:14:00+00:00,04:00:00,9278,1207,2023
Baku,30,AZE,Azerbaijan,144,Baku,Race,Sprint,2023-04-29T13:30:00+00:00,2023-04-29T14:00:00+00:00,04:00:00,9069,1207,2023
Baku,30,AZE,Azerbaijan,144,Baku,Race,Race,2023-04-30T11:00:00+00:00,2023-04-30T13:00:00+00:00,04:00:00,9070,1207,2023
Miami,19,USA,United States,151,Miami,Qualifying,Qualifying,2023-05-06T20:00:00+00:00,2023-05-06T21:00:00+00:00,-04:00:00,9074,1208,2023
Miami,19,USA,United States,151,Miami,Race,Race,2023-05-07T19:30:00+00:00,2023-05-07T21:30:00+00:00,-04:00:00,9078,1208,2023
Monaco,114,MON,Monaco,22,Monte Carlo,Qualifying,Qualifying,2023-05-27T14:00:00+00:00,2023-05-27T15:00:00+00:00,02:00:00,9090,1210,2023
Monaco,114,MON,Monaco,22,Monte Carlo,Race,Race,2023-05-28T13:00:00+00:00,2023-05-28T15:00:00+00:00,02:00:00,9094,1210,2023
Barcelona,1,ESP,Spain,15,Catalunya,Qualifying,Qualifying,2023-06-03T14:00:00+00:00,2023-06-03T15:00:00+00:00,02:00:00,9098,1211,2023
Barcelona,1,ESP,Spain,15,Catalunya,Race,Race,2023-06-04T13:00:00+00:00,2023-06-04T15:00:00+00:00,02:00:00,9102,1211,2023
Montréal,46,CAN,Canada,23,Montreal,Qualifying,Qualifying,2023-06-17T20:00:00+00:00,2023-06-17T21:00:00+00:00,-04:00:00,9106,1212,2023
Montréal,46,CAN,Canada,23,Montreal,Race,Race,2023-06-18T18:00:00+00:00,2023-06-18T20:00:00+00:00,-04:00:00,9110,1212,2023
Spielberg,17,AUT,Austria,19,Spielberg,Qualifying,Qualifying,2023-06-30T15:00:00+00:00,2023-06-30T16:00:00+00:00,02:00:00,9112,1213,2023
Spielberg,17,AUT,Austria,19,Spielberg,Qualifying,Sprint Shootout,2023-07-01T10:00:00+00:00,2023-07-01T10:44:00+00:00,02:00:00,9282,1213,2023
Spielberg,17,AUT,Austria,19,Spielberg,Race,Sprint,2023-07-01T14:30:00+00:00,2023-07-01T15:00:00+00:00,02:00:00,9117,1213,2023
Spielberg,17,AUT,Austria,19,Spielberg,Race,Race,2023-07-02T13:00:00+00:00,2023-07-02T15:00:00+00:00,02:00:00,9118,1213,2023
Silverstone,2,GBR,Great Britain,2,Silverstone,Qualifying,Qualifying,2023-07-08T14:00:00+00:00,2023-07-08T15:00:00+00:00,01:00:00,9122,1214,2023
Silverstone,2,GBR,Great Britain,2,Silverstone,Race,Race,2023-07-09T14:00:00+00:00,2023-07-09T16:00:00+00:00,01:00:00,9126,1214,2023
Budapest,14,HUN,Hungary,4,Hungaroring,Qualifying,Qualifying,2023-07-22T14:00:00+00:00,2023-07-22T15:00:00+00:00,02:00:00,9129,1215,2023
Budapest,14,HUN,Hungary,4,Hungaroring,Race,Race,2023-07-23T13:00:00+00:00,2023-07-23T15:00:00+00:00,02:00:00,9133,1215,2023
Spa-Francorchamps,16,BEL,Belgium,7,Spa-Francorchamps,Qualifying,Qualifying,2023-07-28T15:00:00+00:00,2023-07-28T16:00:00+00:00,02:00:00,9135,1216,2023
Spa-Francorchamps,16,BEL,Belgium,7,Spa-Francorchamps,Qualifying,Sprint Shootout,2023-07-29T10:00:00+00:00,2023-07-29T10:44:00+00:00,02:00:00,9286,1216,2023
