meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1141,7768,1,1,1,1,SOFT,0
1141,7768,1,4,1,1,SOFT,0
1141,7768,1,11,1,1,SOFT,0
1141,7768,1,81,1,1,SOFT,0
1141,7768,1,27,1,2,SOFT,0
1141,7768,1,2,1,3,SOFT,0
1141,7768,1,10,1,3,SOFT,0
1141,7768,1,14,1,3,SOFT,0
1141,7768,1,16,1,3,MEDIUM,0
1141,7768,1,18,1,3,SOFT,0
1141,7768,1,20,1,3,SOFT,0
1141,7768,1,21,1,3,SOFT,0
1141,7768,1,22,1,3,SOFT,0
1141,7768,1,23,1,3,SOFT,0
1141,7768,1,24,1,3,SOFT,0
1141,7768,1,31,1,3,SOFT,0
1141,7768,1,44,1,3,SOFT,0
1141,7768,1,55,1,3,MEDIUM,0
1141,7768,1,63,1,3,SOFT,0
1141,7768,1,77,1,3,SOFT,0
1141,7768,2,1,2,4,SOFT,1
1141,7768,2,4,2,4,SOFT,1
1141,7768,2,11,2,4,SOFT,1
1141,7768,2,81,2,4,SOFT,1
1141,7768,2,27,3,5,SOFT,2
1141,7768,2,2,4,6,SOFT,0
1141,7768,2,10,4,6,SOFT,0
1141,7768,2,14,4,6,SOFT,3
1141,7768,2,16,4,6,SOFT,0
1141,7768,2,18,4,6,SOFT,0
1141,7768,2,20,4,6,SOFT,0
1141,7768,2,21,4,6,SOFT,0
1141,7768,2,22,4,6,SOFT,0
1141,7768,2,23,4,6,SOFT,0
1141,7768,2,24,4,6,SOFT,0
1141,7768,2,31,4,6,SOFT,0
1141,7768,2,44,4,6,SOFT,3
1141,7768,2,55,4,6,SOFT,0
1141,7768,2,63,4,6,SOFT,3
1141,7768,2,77,4,6,SOFT,0
1141,7768,3,1,5,6,SOFT,0
1141,7768,3,11,5,6,SOFT,0
1141,7768,3,4,5,7,SOFT,0
1141,7768,3,81,5,7,SOFT,0
1141,7768,3,27,6,8,SOFT,0
1141,7768,3,16,7,8,SOFT,3
1141,7768,3,23,7,8,SOFT,0
1141,7768,4,1,7,9,SOFT,0
1141,7768,4,11,7,9,SOFT,0
1141,7768,3,14,7,9,SOFT,0
1141,7768,3,18,7,9,SOFT,3
1141,7768,3,21,7,9,SOFT,0
1141,7768,3,22,7,9,SOFT,0
1141,7768,3,24,7,9,SOFT,3
1141,7768,3,31,7,9,SOFT,3
1141,7768,3,44,7,9,SOFT,0
1141,7768,3,55,7,9,SOFT,3
1141,7768,3,63,7,9,SOFT,0
1141,7768,3,77,7,9,SOFT,3
1141,7768,4,4,8,10,SOFT,3
1141,7768,4,16,9,11,SOFT,5
1141,7768,4,27,9,11,SOFT,3
1141,7768,5,1,10,12,SOFT,0
1141,7768,5,11,10,12,SOFT,0
1141,7768,4,14,10,12,SOFT,0
1141,7768,4,18,10,12,SOFT,0
1141,7768,4,22,10,12,SOFT,3
1141,7768,4,24,10,12,SOFT,0
1141,7768,4,31,10,12,SOFT,0
1141,7768,4,44,10,12,SOFT,0
1141,7768,4,55,10,12,SOFT,0
1141,7768,4,63,10,12,SOFT,0
1141,7768,4,77,10,12,SOFT,0
1141,7768,5,4,11,13,SOFT,0
1141,7768,5,16,12,14,SOFT,0
1141,7768,5,27,12,14,SOFT,0
1141,7768,6,1,13,14,UNKNOWN,0
1141,7768,6,11,13,14,UNKNOWN,0
1141,7768,5,31,13,14,UNKNOWN,0
1141,7768,5,14,13,15,SOFT,0
1141,7768,5,18,13,15,SOFT,3
1141,7768,5,22,13,15,SOFT,3
1141,7768,5,44,13,15,SOFT,0
1141,7768,5,55,13,15,SOFT,0
1141,7768,5,63,13,15,SOFT,0
1141,7768,6,16,15,17,SOFT,0
1141,7768,6,27,15,17,SOFT,0
1141,7768,6,55,16,17,UNKNOWN,0
1141,7768,6,18,16,18,SOFT,0
1141,7953,1,10,1,9,SOFT,0
1141,7953,1,4,1,10,SOFT,0
1141,7953,1,22,1,10,SOFT,0
1141,7953,1,21,1,11,SOFT,0
1141,7953,1,23,1,11,SOFT,0
1141,7953,1,27,1,11,SOFT,3
1141,7953,1,77,1,11,SOFT,0
1141,7953,1,2,1,12,SOFT,0
1141,7953,1,24,1,12,SOFT,0
1141,7953,1,31,1,12,SOFT,3
1141,7953,1,44,1,12,SOFT,3
1141,7953,1,16,1,13,SOFT,0
1141,7953,1,55,1,13,SOFT,3
1141,7953,1,63,1,13,SOFT,3
1141,7953,1,81,1,13,SOFT,0
1141,7953,1,1,1,14,SOFT,3
1141,7953,1,14,1,14,SOFT,3
